game	agent	query	day	bid	squashed.bid	budget	imps	clicks	convs	avg.pos	cost
./game1.slg	MetroClick	(Query (pg,null))	1	0.6528119507908613	0.2711505228066277	141.77592500191145	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,null))	1	0.6000000000000001	0.24379933209052004	36.00000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,tv))	1	2.1470000000000002	1.1264780456178907	100.0	211	66	22	1.3601895734597156	99.02857848085479
./game1.slg	Mertacor	(Query (pg,tv))	1	0.5351452999649999	0.24893040068158692	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,tv))	1	1.55	0.7872402615872127	155.0	313	97	50	1.9169329073482428	113.895056924521
./game1.slg	Schlemazl	(Query (pg,tv))	1	0.8502403093138933	0.43849029574565357	1.7976931348623157E308	0	0	0	NaN	0.0
./game1.slg	tau	(Query (pg,tv))	1	3.6838899997354524	1.9125671702688378	100.0	76	45	18	1.0	97.63942267007997
./game1.slg	crocodileagent	(Query (pg,tv))	1	1.05	0.47678496848375157	100.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (pg,tv))	1	1.1842105263157892	0.5501049133538368	278.3018983093782	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,tv))	1	0.6000000000000001	0.30420708721653134	72.00000000000001	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,audio))	1	2.0999999999999996	0.9564334743472298	100.0	231	72	20	1.0	98.69828449415492
./game1.slg	Mertacor	(Query (pg,audio))	1	0.488610926055	0.23475735363435682	NaN	0	0	0	NaN	0.0
./game1.slg	TacTex	(Query (pg,audio))	1	1.25	0.6243276663416389	125.0	285	104	37	1.8105263157894738	124.17652786258537
./game1.slg	Schlemazl	(Query (pg,audio))	1	0.9115776798197919	0.45250817120848114	1.7976931348623157E308	0	0	0	NaN	0.0
./game1.slg	tau	(Query (pg,audio))	1	NaN	NaN	NaN	0	0	0	NaN	0.0
./game1.slg	crocodileagent	(Query (pg,audio))	1	1.25	0.5601427091524689	180.0	0	0	0	NaN	0.0
./game1.slg	MetroClick	(Query (pg,audio))	1	0.8999999999999999	0.4325363800120488	205.28303729500516	0	0	0	NaN	0.0
./game1.slg	McCon	(Query (pg,audio))	1	1.0	0.49642192525727963	60.0	0	0	0	NaN	0.0
./game1.slg	Nanda_AA	(Query (pg,dvd))	1	2.0999999999999996	1.0436372273392218	100.0	95	40	2	1.0	61.248427093132996
./game1.slg	Mertacor	(Query (pg,dvd))	1	0.6735238329078945	0.3228293488938097	NaN	0	0	0	NaN	0.0
